Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
HOOLEKANDETEENUSED AS,1018244,1085898,118445,914
ATRIA EESTI AS,1003000,487561,10267287,272
ITELLA ESTONIA OÜ,994791,451542,5743367,205
INTRAC EESTI AS,994454,232061,11718774,83
BALTIKA AS,991500,436249,11375924,184
TAXIFY OÜ,990335,1047719,16200886,266
PAULIG COFFEE ESTONIA AS,988220,191524,8964839,46
P. DUSSMANN EESTI OÜ,981641,624852,3809109,768
MV EESTI OÜ,980674,35824,2620051,15
VALIO EESTI AS,974493,1013816,35624144,474
RAGN-SELLS AS,973171,689397,6637088,268
IF P&C INSURANCE AS,969443,955157,357200,251
SCANFIL OÜ,966587,822273,28813778,568
ABC SUPERMARKETS AS,963293,494669,14976930,476
WESTAQUA-INVEST OÜ,960149,628540,15817649,428
AMSERV GRUPI AS,958814,117183,30919163,25
ACE TOLLIVORMISTUSE OÜ,957297,15898,77823,4
TIKKURILA AS,951992,336830,10323458,75
EESTI TEED AS,951070,691528,5845128,237
KROONPRESS AS,945881,564440,12766439,273
BALBIINO AS,942685,502387,7184931,233
TNT EXPRESS WORLDWIDE EESTI AS,938764,146762,6572207,47
KAIDOR TRANS OÜ,930537,5072,162930,7
SCHNEIDER ELECTRIC EESTI AS,930379,100406,6922676,13
SECURITAS EESTI AS,923795,607735,2394659,494
BALTIC RESTAURANTS ESTONIA AS,918432,467009,4837369,360
DLB TRADING OÜ,916579,53638,9080525,41
FAZER EESTI AS,914323,140510,8071073,61
ALPI EESTI OÜ,913836,107131,2671115,35
VOLVAX BALTIC OÜ,913749,12880,8908635,2
ENSTO ENSEK AS,911223,933388,34100738,372
TD BALTIC AS,908945,44860,8828174,15
DATEL AS,904756,373915,5123160,96
MARIINE AUTO AS,904632,177096,9976547,61
BENU APTEEK EESTI OÜ,901917,686572,13365834,343
GUNVOR SERVICES AS,898841,943881,4442046,210
TALLINNA TEEDE AS,897945,457963,9820079,128
BAMBONA AS,895278,166742,9790551,87
AKTSIASELTS K.G. KNUTSSON,895107,320495,7010530,110
HESEPEOPLE OÜ,888819,590189,1751395,528
STAYCOOL OÜ,884934,479254,837688,103
AUTOSPIRIT AS,876164,123124,8412458,43
BUDAMPEX AS,872613,49010,2439659,18
GLAXOSMITHKLINE EESTI OÜ,872582,249990,12829670,49
RUDUS AS,865309,200734,11246252,45
SURGITECH AS,863980,113556,6555443,30
LINCONA KONSULT AS,859963,183756,6836606,54
CYBERNETICA AS,859743,583327,1880863,144
AIRWAVE OÜ,857384,81685,9900203,18
AS PENSIONIKESKUS,853354,847309,38800,9
BALMERK ESTONIA OÜ,850988,108691,7476759,38
AS ALL MEDIA EESTI,849607,282824,6228048,94
PAROC AS,847717,57052,7339677,11
TULUNDUSÜHISTU TARTU TARBIJATE KOOPERATIIV,844626,562110,18373354,470
LTT AS,841047,98591,4553767,39
HAVI LOGISTICS OÜ,839058,543150,2677310,245
ERGO INSURANCE SE,835861,796826,92284,263
ABESTOCK AS,832591,154067,10713112,47
PRICEWATERHOUSECOOPERS AS,831411,379842,1823860,147
VOPAK E.O.S. AS,831368,781762,4371866,227
INGLE AS,828382,84606,4342881,39
ARVUTITARK OÜ,822149,64687,8316674,46
APRANGA ESTONIA OÜ,821988,139485,6774979,143
RRLEKTUS AS,816932,406752,13160925,376
LEVENTEK OÜ,815333,53573,8257373,29
VIÈIUNAI BALTIC OSAÜHING,814575,162507,9031226,58
KLIIMASEADE OÜ,812690,149979,6416912,33
KITMAN THULEMA AS,812269,308176,5326986,144
TRIDENS AS,812047,173985,13021824,58
KULINAARIA OÜ,811631,381552,5643426,310
RECTICEL OÜ,809700,233080,6274623,92
MARS EESTI OÜ,808371,32975,7355558,9
VIKING SECURITY AS,802971,512334,2680804,613
ROCHE EESTI OÜ,802965,164673,8914578,70
ECKERÖ LINE AB OY EESTI FILIAAL,802284,136565,4180671,54
KRIMELTE OÜ,796162,610850,28914512,196
TAURE AS,794829,133941,6919696,47
SALVEST AS,793626,333155,7293658,196
STONERIDGE ELECTRONICS AS,790431,842812,31654669,314
VBH ESTONIA AS,790355,148789,7000646,41
AS CGI EESTI,790111,723959,2020131,192
TERE AS,790049,471228,18521240,320
SELECT SERVICE OÜ,783671,18724,4467566,1
LASBET TOOTMINE AS,783176,514212,3954497,211
NORDEA BANK ABP EESTI FILIAAL,782300,834770,2773858,367
METSAMAAHALDUSE AS,781171,4308,4992830,1
AQ LASERTOOL OÜ,780675,840612,16969409,429
REYKTAL AS,780212,190615,785451,29
RAMIRENT BALTIC AS,779889,673277,10841705,224
SALES-STAR AS,775209,134665,9679251,39
SIROWA TALLINN AS,774160,320291,16928022,156
STV AS,771204,376383,3994122,175
MANPOWER OÜ,767235,583534,1724166,279
SEBE AS,757682,511609,2921116,343
MARU EHITUS AS,756997,323639,8141294,71
PROEKSPERT AS,755506,719776,3526556,167
FORTUM EESTI AS,754858,195063,7867671,54
LIVE NATION ESTONIA OÜ,754395,16549,5157775,4
TREF AS,752702,232465,6863396,78
