Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
CTT OÜ,19399,12444,48818,7
ROHE INVEST OÜ,19399,707,97023,1
PEOPLE FITNESS EESTI OÜ,19393,10654,222403,13
KJ HOLDINGS OÜ,19389,14914,28928,3
NORDEM OÜ,19388,21025,14,7
TIPI OÜ,19386,12326,46390,4
EVERTON EHITUS OÜ,19386,9240,111996,10
AB JÄRVE OTTI JA PARTNERID OÜ,19386,8869,48934,7
TÄHVA OÜ,19384,12566,150391,8
OSAÜHING KWINTEX,19376,20956,126070,38
MAXWHITE OÜ,19374,19801,169890,24
AUSTAN LOODUST OÜ,19372,13468,147721,10
DALTON KINNISVARA OÜ,19368,5343,232370,4
POWTEC OÜ,19361,8326,113601,6
FLOOR COVERING OÜ,19355,9512,131002,8
TT-TRADE OÜ,19354,7085,119559,4
PHARMASWISS EESTI OÜ,19353,20619,131119,4
IDEELABOR OÜ,19352,20326,7260,8
MARATON METS OÜ,19351,2803,47500,1
TRUSTEK OÜ,19351,18904,292135,16
TOYREM OÜ,19350,9785,152575,8
DAV WELDING OÜ,19350,8172,84937,4
KUREOJA JÕUSÖÖDATEHAS OÜ,19349,1984,371874,1
EO CARRIER OÜ,19346,12098,58327,11
SFINKS KN OÜ,19345,3900,146457,7
GENTROON OÜ,19344,8061,143383,5
ABC KLIIMA OÜ,19342,8183,141529,3
VIIDEST OÜ,19339,12018,127316,8
EXCLUSIVE STONE OÜ,19336,7310,109139,6
PLANIMEKS OÜ,19336,12138,153926,9
OÜ VH AGRO,19335,1712,94005,1
NORDICPROSTAFF OÜ,19334,13626,41555,8
TRANSTAR EKSPEDEERIMISE OÜ,19328,13158,233669,13
ESRO ELEKTER OÜ,19325,523,178447,1
AUMA ESTONIA OÜ,19325,5570,123268,1
LINDREN GRUPP OÜ,19323,19421,96947,10
ENESTO OÜ,19317,21287,0,11
HEA VESI OÜ,19316,11630,77582,10
MAKRUM OÜ,19309,15378,177062,12
ALITA OÜ,19308,5080,104760,6
EGOTAR GRUPP OÜ,19307,18437,33644,10
WOK TALLINN OÜ,19304,11523,116132,14
C-G BERG METAL OÜ,19301,9143,121819,9
LINDEST TRADE OÜ,19299,5458,161239,11
HALINGA ENERGEETIKA OÜ,19297,11153,175650,12
KUKEVÄLJA TALU OÜ,19297,1202,107018,1
REEF SR OÜ,19289,14486,140757,9
ELECTO NÕRKVOOL OÜ,19289,20292,117035,3
ADELAN KVH OÜ,19287,4307,36855,3
BEOGRANDIS OÜ,19287,1271,221012,2
RAJA APTEEK OÜ,19283,18592,473727,12
BALTIC MARINE SERVICES TALLINN OÜ,19281,19913,126117,5
BIT FINER OÜ,19278,9116,89684,6
FATLINK OÜ,19275,7513,105616,8
A.S PRODUCTION OÜ,19269,6038,124748,10
KRIPON & PARTNERS OÜ,19269,8192,154550,7
SILVERREST FASSAADID OÜ,19267,3791,138976,5
ALLIKU OS AS,19266,9795,141402,11
GROW AUDIT OÜ,19266,8484,45220,4
LENNUMASINAD OÜ,19264,8660,76527,5
TONER-PROJEKT OÜ,19261,11040,58435,4
SUNNY GALANDREX TÕLKEBÜROO OÜ,19261,10836,88698,16
7ÜRTI OÜ,19260,10717,66330,11
INDOOR.NINJA OÜ,19255,22252,19812,1
BEAUTY PRO OÜ,19255,5930,249297,12
NP ÕMBLUS OÜ,19253,13123,40270,18
ANOVELA KINNISVARA OÜ,19249,3946,98398,4
PSS SERVICE OÜ,19248,4829,181321,7
KV HEAKORD OÜ,19239,17779,11478,3
REGNUM CONSULT OÜ,19237,7156,64140,2
7 KUUD OÜ,19237,8189,81476,3
AKRIL OÜ,19235,12084,126586,7
A.L.M. AUTOMOTIVE OÜ,19233,16397,116069,5
SV IZOLBET OÜ,19227,15042,306247,7
SAARE FASSAAD OÜ,19227,9411,86372,8
OÜ COLSPO,19212,15271,85356,15
SELAGO SERVICE OÜ,19211,10789,230135,6
VIINISTU KULTUURI-JA KONVERENTSIKESKUS OÜ,19198,12686,55795,9
VALVERONE OÜ,19198,3663,360254,5
ANMERI OÜ,19191,11001,67631,7
NOVASHOP OÜ,19187,8708,536130,9
OSAÜHING POSEIDON FOODS,19183,9134,132882,10
NEBEL EHITUS OÜ,19182,11011,60059,10
ELTEXTERM OÜ,19181,5948,118635,8
THE CHAPTERS GROUP OÜ,19179,15029,80029,14
INTERMODUL OÜ,19178,8265,71385,4
KADRINA KOMMUNAAL OÜ,19177,10835,125345,12
MPRINT OÜ,19175,13256,94654,8
OÜ NORTHPRO,19171,9793,134727,19
CAJUN OÜ,19170,2369,171865,2
NEVI OÜ,19168,10745,89035,12
OLD AND NEW PROJECTS OÜ,19167,1684,229836,2
NORDCODE OÜ,19164,21389,364593,18
MALBERG ARENDUS OÜ,19163,4334,117809,4
OÜ ROSENA DK,19160,3863,166832,6
YACHTS SERVICE OÜ,19159,10166,133009,5
I.V.A. LEON OÜ,19159,6303,84840,4
TIMBERPRO OÜ,19158,21126,396329,2
ZONEBERG OÜ,19156,6982,79262,4
MR HAIKALA OÜ,19156,5743,105198,4
VESSET TRANSPORT OÜ,19146,9673,120675,5
SSSK OÜ,19143,9823,90285,19
BAXALTA ESTONIA OÜ,19139,19719,110721,4
OÜ ABOBASE SYSTEMS,19137,3552,89375,3
VEDUKS OÜ,19136,11656,125410,7
HEVAMI OÜ,19135,5187,126279,11
LÜGANUSE AGRO OÜ,19133,9429,77747,7
TEHNIKAKESKUS OÜ,19131,11200,164160,8
MÄNNIKU METSATALU OÜ,19130,2794,60514,4
MAAELU JA KAUBANDUSE NÕUKODA OÜ,19130,9249,44330,3
TAE FASHION OÜ,19128,2205,285210,2
WOLFPRINT 3D OÜ,19124,20014,143983,7
KODUSPA OÜ,19121,4298,149067,3
RAGER OÜ,19121,12733,410775,17
MITE ENGINEERING OÜ,19120,13549,81913,6
MUHRO OÜ,19117,10177,70422,11
TARVI TRANSPORDI OÜ,19116,7299,107006,5
SULASE TEENUSED OÜ,19116,10352,40567,3
BREDEN TEXTILES OÜ,19116,10204,63456,13
UPSTEEM.COM OÜ,19114,14743,34037,4
VOLTEM OÜ,19106,8668,89144,6
TAMEX OÜ,19105,13842,71992,10
ROBBY & BOBBY OÜ,19103,14043,45680,10
VAHVACON EESTI OÜ,19102,12442,46812,4
INTRAL AS,19099,15018,163339,5
PARGI KINNISVARA OÜ,19098,2173,59824,2
HOUSE OF TRENDS OÜ,19093,22634,768421,8
SYNDICATE HOLDING OÜ,19090,582,117527,1
G.E.POINT OÜ,19087,9094,84235,6
TSCHUDI LOGISTICS OÜ,19086,19836,717475,8
KATKERA OÜ,19086,4774,123828,6
TORUKUNN OÜ,19084,2083,169191,4
KATUSE ASJATUNDJA OÜ,19084,589,220562,1
EAST EXPRESS OÜ,19081,11019,104122,8
MISKORT AS,19080,7057,197766,4
KÕUE MÕIS OÜ,19075,8492,57435,10
DYNABRAC OÜ,19074,24169,410714,9
TEKATEKS OÜ,19074,3768,163168,6
MELKERSON OÜ,19073,6580,146817,3
CAMBI OÜ,19072,14575,82340,13
NUPUTAJA OÜ,19070,5473,135795,4
TENPES INVEST OÜ,19068,1158,90000,1
NORDICONE OÜ,19068,13309,96307,13
INNOTIA EESTI OÜ,19065,14638,63842,2
ADOOL OÜ,19065,8096,88430,9
KANSPORT OÜ,19059,3734,112876,4
HIIUMAA AGRO OÜ,19055,10604,233558,5
FIBROTX OÜ,19054,29435,252666,24
PLUSSYSTEM OÜ,19054,16268,75531,15
ARTWERK OÜ,19054,3215,113003,4
VIIMISTLUSPROFF OÜ,19054,11680,64367,6
PROLUMINA OÜ,19049,1400,187720,1
MARGLIN OÜ,19042,29942,199005,15
ACTIVE LINE GROUP OÜ,19042,6309,172404,5
OOLUP OÜ,19037,3446,369008,4
FURNINSTAL OÜ,19037,13662,139608,8
TEXTA OÜ,19036,11454,48555,7
LOTUSTRADE OÜ,19035,1256,0,1
TOLMETEX OÜ,19025,26509,1427119,12
V.K. TÄHE TRANS OÜ,19006,9074,107885,12
WEW OÜ,19005,11308,56203,9
KALMA EHITUS OÜ,19005,11180,88714,10
ANREIN OÜ,19001,20109,172793,16
A-FLOWERS OÜ,18999,6586,155303,11
LOGISTA OÜ,18999,1951,667263,2
VTÜ VARA AS,18997,8598,85689,9
TRAAGELDAJA OÜ,18995,18186,123085,19
JAKOCH AS,18988,3779,104193,5
MILLERSON OÜ,18985,8454,164627,5
CAVATON OÜ,18984,21086,189044,10
OÜ BALTIC ID,18979,7310,78391,5
RIVET OÜ,18977,5496,117368,3
RUUT EHITUSE OÜ,18976,16534,684366,10
CARSTUDIO OÜ,18974,10119,111857,9
HELESININE OÜ,18972,5297,70750,2
ARES SECURITY OÜ,18962,10319,51916,30
KEMIVESI AS,18955,19274,469640,6
BALTROLL OÜ,18955,9197,95479,4
KAGUKATUS OÜ,18953,6477,175238,8
N.S.A. METTALL OÜ,18950,6615,172816,4
FRANK EVENTS OÜ,18944,9417,212036,6
ROLLEN EESTI OÜ,18943,4387,152527,4
OSAÜHING VISKARI,18940,9085,151666,3
OSAÜHING ROPKA BETOON,18939,6673,211966,6
PAGARI-LIISU OÜ,18932,9768,48066,7
RONELLA OÜ,18929,5361,72416,4
AXIS UPI OÜ,18927,7749,37036,2
EASYDENTAL OÜ,18925,18325,3672,9
LOODUSRAVI KLIINIK OÜ,18921,8150,129856,8
HANDLER OÜ,18920,4315,194880,8
AUTOVEOD-TRANSPORT AS,18920,6167,92571,6
ALORA EHITUS OÜ,18920,14747,45567,6
BRIS TEENUSED OÜ,18918,3007,57781,8
SEEDER AGRI OÜ,18915,11760,64922,7
ETESTWARE OÜ,18913,20379,199150,7
KRONOPAL OÜ,18911,10529,348100,6
MIKUNI FOODS OÜ,18907,11036,97966,13
PLAYGROUND ADVERTISING OÜ,18902,9972,1527930,3
KRIPSALI OÜ,18902,3454,119834,2
ADVOKAADIBÜROO GLIMSTEDT ESTONIA OÜ,18900,12854,42621,2
KOKARAAMAT OÜ,18897,10999,87607,15
NAUTILUS TRAVEL AS,18896,20414,179441,9
NORDRENT OÜ,18893,20255,211563,14
INDETEK OÜ,18892,50632,520260,20
RAASIKU ÕLLETEHASE KAUBANDUS OÜ,18885,5305,88869,7
KARJA KELDER OÜ,18883,13554,65170,18
SUPERFOX OÜ,18882,5296,142159,6
AD TÖÖKODA OÜ,18876,11715,47795,5
SANSERV OÜ,18875,12250,179629,12
PERT PROJECT OÜ,18874,2297,148256,2
PROCULA OÜ,18874,15725,155008,13
HANSASELL OÜ,18874,6189,118041,3
SULINVEST OÜ,18871,2300,227986,2
NORTHSIDE SOLUTIONS OÜ,18865,1209,78309,1
KAGU PETROOL AS,18861,5930,592246,6
VALMET TECHNOLOGIES OÜ,18859,16184,74595,3
TRAFONOVA OÜ,18858,20774,126649,16
E.STRAUSS AS,18855,15004,120373,26
MARGN OÜ,18854,14015,49683,6
DESKIS OÜ,18849,9406,43675,3
KL PARTNERS OÜ,18848,10381,49954,5
BAUM OÜ,18843,7336,275429,11
KINNISVARAEKSPERT OÜ,18838,6588,144847,5
EDISOFT ESTONIA OÜ,18831,14261,50459,8
ASS-TRANSPORT OÜ,18827,19487,265005,9
WELLMAN OÜ,18825,20131,67677,8
MYRENT OÜ,18821,11851,39171,8
AMERESTON OÜ,18819,20896,1657,3
ESPAK HALDUS OÜ,18817,12343,38585,15
OÜ LÜDEKE MONTAGESERVICE,18814,20429,61823,22
AUDLA OÜ,18810,10670,157463,4
TATPAR V.O OÜ,18806,16079,136914,4
PALEKS TEENINDUS OÜ,18799,4482,151356,4
NORBYGG MODUL OÜ,18799,149944,2657986,60
NORDIC TALENT MANAGEMENT OÜ,18795,10346,58578,2
OÜ PROSIDE,18794,20157,87390,10
WAB OÜ,18793,3838,139888,3
TELVE & LAAR OÜ,18793,5570,115354,3
K-MEES EHITUS OÜ,18791,11700,74760,2
PROVETON EHITUS OÜ,18791,7486,134267,7
EKOPUIT OÜ,18790,17278,95548,14
KOORTI KÖÖGIVILJAD OÜ,18790,11047,91811,6
OSAÜHING BRIKKS BALTIC KATUSETÖÖD,18785,7916,243409,7
TOOME KÖÖK OÜ,18785,5089,96917,12
NORDEXTER OÜ,18778,9149,150447,8
KAUBANDUSTEHNIKA AS,18777,8916,58685,7
BIKEPOINT OÜ,18776,5507,179801,4
MEILEKOM OÜ,18775,2468,62329,3
KIVIÕLI KINNISVARAHOOLDUSE OÜ,18775,11113,54411,16
MSA ELEKTER OÜ,18772,10847,130128,5
REVALIA IMPEX OÜ,18772,19886,269129,15
HANSACOLOR OÜ,18772,10411,300709,5
STEKKOR TRANSPORT OÜ,18771,6546,112046,7
GOLDHAND OÜ,18766,7492,122870,9
DECOVAR OÜ,18764,13501,129061,10
HIGHWAY ENGINEERING OÜ,18760,12326,92178,6
KOSTERA TÜH,18759,10138,282900,2
PROJEKTIDE AGENTUUR OÜ,18757,11353,66210,5
TANAKA OÜ,18754,16596,5286,10
VÄIKE PROJEKT OÜ,18751,5767,61276,4
PRESSI OÜ,18749,1231,140835,2
VANA VILLEMI KÕRTSID OÜ,18747,3602,87089,2
SPECREM OÜ,18743,10121,104029,8
APK EHITUS OÜ,18742,7183,191983,5
SOMAR OÜ,18742,582,231026,1
HEKRO EESTI OÜ,18739,6863,166628,8
PUHAS KODU OÜ,18732,13570,159022,8
AVILA PUIT OÜ,18731,14158,71119,7
CARGOFAST OÜ,18722,3120,305303,2
SIE & KO OÜ,18719,19369,171894,16
SARMET OÜ,18719,8878,106200,16
INFOVÕRGUD OÜ,18717,10419,61460,11
4X4 OÜ,18716,14321,139967,7
OSAÜHING GEILAFER HOLDING,18714,525,194514,1
VALTSPLEKITOOTED OÜ,18713,5472,109582,5
ROTO EHITUS OÜ,18713,5420,172707,14
SIA BALTIC PREMIER PARTNERS EESTI FILIAAL,18709,9639,95174,2
FINGAL OÜ,18702,2583,48300,2
VIAGEO OÜ,18700,12108,59031,8
VÄTTA PUIT OÜ,18699,10511,80388,10
CENTEST OÜ,18698,1583,179303,1
KALSEP OÜ,18691,11870,140571,12
METALBOSS OÜ,18686,20290,441369,9
RENLOG EESTI OÜ,18685,3334,1163154,3
OSAÜHING SANGLA JUVEELISALONG,18684,8752,129517,11
TINS SYSTEM OÜ,18683,4279,94437,13
REMBATAS OÜ,18681,5318,263704,1
SAARTE TEHNIKA OÜ,18680,8236,161483,10
MÖÖBEL SINULE OÜ,18678,18405,214018,15
4SEINA OÜ,18671,10219,122398,9
ESTELEKTER OÜ,18670,12227,71553,5
OÜ AIRES LAENUD,18669,15774,0,3
TEA KIRJASTUS AS (PANKROTIS),18667,8287,159621,6
OBLICITY OÜ,18666,9215,65117,4
DESPERADO TURVATEENISTUSE OÜ,18666,8988,77805,11
SARGONTES OÜ,18665,8054,72845,13
FARADAY OÜ,18665,6270,68644,4
MULTILINGUA TÕLKEBÜROO OÜ,18662,6436,74936,26
EZIIL PRODUCTION INTELLIGENCE OÜ,18661,12320,48878,8
OSAÜHING OMNICOMM,18661,19984,311735,8
MUHU FARMID OÜ,18660,9422,149792,4
GANTTIC OÜ,18660,20248,108074,5
ELEKTRILABOR OÜ,18658,9399,61896,9
VIRU SÜSI OÜ,18657,9632,165600,16
BOCHAKO EESTI OÜ,18637,1833,196830,3
AKORD INVEST OÜ,18635,14449,107428,26
DEMONTERING OÜ,18634,6695,267601,8
YLEMERE OÜ,18631,20704,138074,7
KRAVOND HULGI OÜ,18629,6917,272868,11
RADONIT OÜ,18628,7291,181804,8
RISTIKU TERAVILI OÜ,18624,9118,384805,4
ISEASI OÜ,18623,11684,48596,6
DECKOL TRANS OÜ,18621,11448,185453,13
MESTRON GRUPP AS,18620,1827,96262,2
KLM PROJEKT OÜ,18619,9286,68880,5
FG TRANS OÜ,18618,9215,301610,12
DUSCHY MARKETING AS,18613,8948,236193,6
PLASTPROFIIL OÜ,18613,13909,49071,9
VIMBERG HOLDING OÜ,18613,9825,57424,1
PÄRNUMAA VILJAÜHISTU,18603,525,1254181,1
SVENMERC OÜ,18602,10712,169271,6
POMARFIN HOLDING OÜ,18598,12720,47595,2
VSV BALTIC CONNECTION OÜ,18598,1201,123416,2
MAMTA CATERING OÜ,18593,12586,61163,12
RAKO RAAMATUPIDAMISE BÜROO OÜ,18590,11772,45979,6
FEDERAL EXPRESS CORPORATION EESTI FILIAAL,18589,20047,1182829,10
BCS AUTO OÜ,18586,7529,332451,4
MUMMUT OÜ,18586,8311,54594,1
ATTIC OÜ,18585,8195,104533,7
PULEIUM OÜ,18578,10500,143666,10
FLOWERS WORLD TÜ,18578,11287,96885,19
SQUARE SAUNAHAUS OÜ,18577,17819,76917,9
KAKSI CONSULT OÜ,18571,9709,51594,5
TRAPETS OÜ,18570,8692,131792,7
REMIT AUTO OÜ,18570,8919,146886,10
ALUVER OÜ,18568,2518,69704,2
WIPRE OÜ,18567,2211,109194,1
VOXEL OÜ,18564,6102,80971,5
TAMMIKU MAJA OÜ,18564,12184,58730,20
NOVITEC SOLUTIONS OÜ,18558,14350,26517,4
SUURE-JAANI VORSTITÖÖSTUS OÜ,18558,12678,132127,14
FLORA KAUBANDUS OÜ,18551,5718,180667,8
MU-CONSULTANTS EESTI OÜ,18547,12151,94746,3
MÖÖBLIABI OÜ,18546,9679,60601,6
ESKO TALU OÜ,18545,14142,29296,6
FRESHREX GROUP OÜ,18545,17237,311157,17
KMH EHITUS OÜ,18537,3880,133092,7
ARVELDAJA OÜ,18537,8887,51547,4
AVERI EHITUSE OÜ,18537,10644,129739,8
GRATA OÜ,18537,19896,80699,29
ERLEKS EHITUS OÜ,18530,11150,299652,10
KAPASTU OÜ,18528,2101,184601,3
MÖKU OÜ,18526,8079,146333,12
HOBEX GRUPP OÜ,18522,8286,152452,6
AMP VIIMISTLUS OÜ,18520,8325,72745,8
BIBI PAGAR OÜ,18519,9225,89906,8
ARTECON OÜ,18519,3349,206840,2
FREND TRADE OÜ,18518,2346,144049,2
KASTI METALL OÜ,18517,6654,175842,5
NB HOLDING OÜ,18516,8845,44565,10
MEDRETO OÜ,18515,1846,235035,2
EVALES EESTI OÜ,18510,2942,351155,3
OOM KONSULT OÜ,18508,8872,199374,8
EHE JA EHTNE OÜ,18506,16048,61788,17
TEKSTUUR OÜ,18506,4673,158461,2
ROOTS EHITUS OÜ,18502,11000,52321,8
STENMAREIN OÜ,18501,4831,120444,4
KAEVETEENUS OÜ,18500,10284,159497,7
AMANJEDA GROUP OÜ,18497,11061,169215,8
CERTA OÜ,18497,11088,80177,15
ORDIMER TRANS OÜ,18496,2940,88971,5
OÜ SAAREVÕRK,18487,17378,246849,35
AISIKO OÜ,18487,9655,239298,7
ANTI AASMAA ADVOKAADIBÜROO OÜ,18484,1139,25927,2
MUHU T & T OÜ,18483,8104,147491,7
CLAHEL OÜ,18480,11315,113282,8
CROWDWAY OÜ,18465,494,47745,1
TURBUS LINE OÜ,18462,5454,168357,7
AUDIITORBÜROO ELSS OÜ,18458,17523,23443,11
TT DENTAL OÜ,18458,9629,150707,7
SEICOM GRUPP OÜ,18455,7216,64436,19
AQUILA GROUP OÜ,18454,10135,48528,14
FONTE OÜ,18453,12521,37449,4
VIASTON GRUPP OÜ,18453,9521,55355,3
RIVERITO AS,18451,12154,37500,5
RIK SUUR OÜ,18447,11864,84332,25
CLEMCO BALTIC OÜ,18444,18358,955391,4
ÞAKLAR OÜ,18442,6659,113130,8
CREDENUS INVEST OÜ,18440,1625,91291,3
PALLIMEHED OÜ,18436,10974,60938,5
TERMET OÜ,18431,10839,404001,7
LAURA KAUPLUS OÜ,18431,12204,283565,14
GEOINFRA OÜ,18429,5820,67191,2
SSA CAPITAL OÜ,18428,805,96000,2
PRINTLINK PRODUCTION OÜ,18426,6077,260017,3
TS-HYDRAULIC OÜ,18425,4946,522360,4
ORKU EHITUS OÜ,18423,9328,175717,10
TORMI R.K. AS,18423,10044,84935,5
OÜ HLM,18420,12408,126231,46
FOOLIX OÜ,18420,10004,129716,4
SCORMAX GROUP OÜ,18418,9099,83404,5
LIVEKAS OÜ,18414,26994,277146,17
JUTAMETALL OÜ,18413,11871,87618,9
UWS BALTIC OÜ,18407,15578,47626,5
PUUSLIK OÜ,18405,7590,120251,12
ITHALDUS.EE OÜ,18405,4072,151377,5
PRANTSUSE AUTO OÜ,18402,14110,123834,7
AGRICO EESTI OÜ,18401,11221,136579,7
JOVI OÜ,18399,11386,110814,11
KRTL OÜ,18398,14519,278753,3
TIMPURI RAKENNUS OÜ,18394,20540,72988,8
GUSTAVI EHITUSE OÜ,18393,5482,129583,3
TVP OÜ,18384,4883,94522,6
LEADPAU OÜ,18379,6589,135986,5
ILMARA OÜ,18378,19716,0,18
ALTANA RMN OÜ,18375,7966,55854,5
ATI OÜ,18374,11291,88039,11
ANRACO OÜ,18373,3574,198207,2
VLK TRADING OÜ,18373,1683,210839,3
VT RAAMATUPIDAMISBÜROO OÜ,18373,18049,77810,7
BEE TREE HOLDING OÜ,18364,994,90265,1
LAUDSEPP OÜ,18361,3610,158628,8
OÜ ADVOKAADIBÜROO HETA,18359,12524,43041,6
EPIFIN OÜ,18356,13197,111632,9
RANDSILVAR OÜ,18355,3609,210917,6
L & L REKLAAM OÜ,18355,4308,168074,4
OSEENIKS GRUPP OÜ,18349,7279,74922,6
HR METS OÜ,18348,3273,101525,3
KLAASIGRUPP OÜ,18347,4253,89595,2
RADIUSTECH OÜ,18345,7276,10739,6
TOIVO DOLOMIIT OÜ,18345,7974,158959,5
ETAMP OÜ,18344,2701,167330,2
ROMETS TEENUSED OÜ,18342,8096,174489,4
PJV HALDUSKODA OÜ,18341,9956,100825,13
P & J TRANSPORT AS,18340,9510,269409,11
OGRIM GRUPP OÜ,18339,2681,87867,2
KIVIKUNINGAS OÜ,18338,2444,130480,2
ALLERON TRADE OÜ,18332,2413,129409,3
EFTA ACCOUNTING OÜ,18331,11992,66118,6
PUUMAAILM OÜ,18328,11053,162078,9
TRAILBORG OÜ,18328,4503,70444,2
ESTRIN EHITUS OÜ,18324,14169,105945,9
TRENDTEKSTIIL OÜ,18322,6006,119517,5
ÜLEMISTE RAAMATUPIDAMISBÜROO OÜ,18318,9530,55535,2
GROSSO & GROSSO OÜ,18315,4201,145045,2
DANVIK ÄRI OSAÜHING,18314,9040,127378,5
ART KONVERENTSITEHNIKA OÜ,18311,8267,163854,6
NORDIUM OÜ,18311,16930,622921,3
KUVARNET OÜ,18311,9604,67001,7
LINNAHOOLDUSE OÜ,18309,10717,57586,13
OÜ KOODIMASIN,18307,5933,38374,2
SUVILA OÜ,18306,3432,118750,9
TREBICOM OÜ,18303,4661,13151,4
EST MERCOR OÜ,18300,1840,253442,5
HUSTO CONSULTING OÜ,18300,3524,22475,3
VIRUMAA KINNISVARAARENDUSE OÜ,18291,14049,127643,31
VILLEMS & PARTNERID OÜ,18289,14705,37616,8
OSAÜHING RVSOFT,18285,9603,46874,7
KARTULITEHNIKA OÜ,18282,843,147052,1
IVC ARVUTITEENUSED OÜ,18276,14313,29958,13
OÜ MERE PUIESTEE 6E,18276,15670,119376,16
RESIDO OÜ,18272,4281,164058,5
EVENTUS GROUP OÜ,18271,19703,475637,9
SAUKAS FOOD OÜ,18270,9911,107441,11
PUIDER TOOTMINE OÜ,18269,11868,97643,13
BI&DWH CONSULT OÜ,18267,10663,49162,5
INDICIUM OÜ,18267,6654,61500,3
KBL24H OÜ,18266,3136,105368,4
MENSTROY OÜ,18263,12517,65593,9
DORMAX BLINDS OÜ,18262,7917,118282,7
AERMEST OÜ,18262,220,289639,1
PROSOLUTIONS OÜ,18260,906,249258,1
LVEIX EHITUS OÜ,18257,11439,79366,7
VERKTER EESTI OÜ,18255,1427,178760,2
SÜSI SG OÜ,18255,8660,92439,15
KEILA VESKID AS,18250,2733,1069414,9
TOP CREDIT OÜ,18248,9751,54772,5
SANASTER GERMAN OÜ,18246,1827,94765,2
HURMI PIIM OÜ,18244,7234,149178,7
T.I.SAN OÜ,18242,4995,181494,5
ONEGA OÜ,18239,8015,111674,12
WINDROX GRUPP OÜ,18238,28247,143994,8
FLEUROP-INTERFLORA NE EUROPE OÜ,18237,13789,129886,8
CITYFLOWER OÜ,18234,12975,127916,10
ELFERRUM GROUP OÜ,18234,4990,102973,8
ARTISANA OÜ,18232,10217,72051,12
ANTON PÄRNAPUU OÜ,18229,8997,81865,5
CARVEX OÜ,18228,8767,119357,9
PRISMA NET OÜ,18227,4659,91961,12
TOPPER BALTI OÜ,18227,22282,132649,30
VÕLUKALOSS OÜ,18223,5300,82154,8
OSAÜHING LOOTOS PROJEKTID,18221,10994,73865,3
ASTREC DATA OÜ,18219,20024,194835,10
A1 QUALITY OÜ,18216,2760,103618,3
SOFTEST OÜ,18210,13619,129537,9
VAGRAL OÜ,18210,7161,224203,9
S&M TRANSPORT OÜ,18201,5363,68909,4
AUTLO OÜ,18201,10900,42876,7
TEED JA TRASSID OÜ,18198,9851,144641,3
DOOR MASTER EESTI OÜ,18195,4238,166454,2
OÜ SAN REVILO,18194,3724,61035,3
PLATVORM OÜ,18193,8599,63329,7
SIMMEL EHITUS OÜ,18192,8634,45361,6
KÕRGUS OÜ,18191,8620,63551,3
OSMARGO OÜ,18190,5821,101229,4
ERTON HOLDING OÜ,18185,11647,112852,13
KASU GRUPP OÜ,18185,12002,82652,7
OÜ KREETEN,18184,5323,109310,6
RAINHOLZER OÜ,18182,857,128342,1
ORIEN TRADE OÜ,18181,23233,394471,32
NIKRON-MET OÜ,18177,12188,101782,18
ST.PATRICK'S OÜ,18172,13302,97628,22
SCANWELD EHITUS OÜ,18172,7596,75182,6
S.T.I. GRUPP OÜ,18168,19836,1002,14
ROVAL OÜ,18168,9234,127466,6
SEPA AUTOKLAAS OÜ,18168,2730,102457,4
TESTER INVEST OÜ,18166,4926,243319,6
KARELL EHITUS OÜ,18166,10338,84365,10
7CS OÜ,18164,19624,165619,7
TOVARÕSTVO Z OBMEÞENOJU VIDPOVIDALNISTJU „TECHVITA” EESTI FILIAAL,18162,18701,96697,13
TAVOLARA OÜ,18159,2957,75833,1
OSAÜHING ALVO INDUSTRIES,18156,12414,51072,15
MÄRJA TEHNO OÜ,18154,13122,76520,9
FORTE GROUP OÜ,18150,1772,50845,1
OSTAKATEL.EE OSAÜHING,18149,2052,162009,3
WARECON OÜ,18146,4820,709474,3
FIRST TRANS OÜ,18146,5481,155650,9
RÄNDURI OÜ,18143,11124,128681,20
LEISI SAEKAATER OÜ,18136,13077,55288,4
AA ISOLATSIOON OÜ,18132,19322,123483,7
MAARDU REC OÜ,18131,681,101967,1
GIG SERVICE OÜ,18129,1400,141800,3
AUTOLINK OÜ,18123,9643,611945,7
JETCAPITAL AS,18121,12882,70321,6
AS LANDCREDIT,18118,18853,162,4
YEAR AS,18115,17804,81179,25
OÜ SUAY THAI,18111,9091,75786,10
JÄRVAKANDI KOMMUNAAL OÜ,18109,10012,105711,7
TALSI MUSIC OÜ,18108,18605,15978,1
TEXPO OÜ,18105,12128,20349,7
ACDC OÜ,18105,2925,85400,2
ALDREHT OÜ,18103,20342,2873,11
MERKLE OÜ,18101,5114,156349,3
GORDON GRUPP OÜ,18098,4714,331810,2
EXTERY OÜ,18095,10171,258357,6
KÄRDLA VEEVÄRK AS,18091,12341,108622,10
KARAMELLE OÜ,18088,12720,131768,11
EVITEL OÜ,18086,6363,100412,9
MAAMASIN OÜ,18084,1635,214915,3
GREENGOLD MANAGEMENT OÜ,18081,7073,133721,2
NEW YORK RIBS OÜ,18079,12271,101666,12
LÄÄNEMAA INVEST OÜ,18077,10722,52467,8
PROAKTIIVNE OÜ,18069,16437,15417,1
RAAMPROJEKT OÜ,18068,16041,19550,7
DOWISELY OÜ,18067,8948,65525,5
T/S FINLAND OÜ,18067,19351,6837,5
